 População Residente - Brasil
População residente por Unidade da Federação e Ano
Período:1985-1992
"Unidade da Federação";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992"
"11 Rondônia";782482;842192;901050;958688;1014838;1069626;1132692;1150512
"12 Acre";354176;365010;375689;386147;396335;406275;417718;429683
"13 Amazonas";1735823;1798467;1860217;1920688;1979597;2037078;2103243;2155090
"14 Roraima";142029;154910;167608;180043;192157;203977;217583;222939
"15 Pará";4105858;4249793;4391673;4530614;4665966;4798037;4950060;5051708
"16 Amapá";227097;237719;248190;258443;268432;278178;289397;305722
"17 Tocantins";821081;837923;854525;870783;886621;902074;919863;943205
"21 Maranhão";4420540;4507445;4593109;4677000;4758722;4838464;4930253;4983237
"22 Piauí";2340276;2381513;2422161;2461967;2500745;2538583;2582137;2598639
"23 Ceará";5778039;5878395;5977319;6074194;6168566;6260651;6366647;6446971
"24 Rio Grande do Norte";2133163;2181312;2228774;2275253;2320531;2364712;2415567;2441504
"25 Paraíba";2965900;3006003;3045534;3084247;3121959;3158757;3201114;3220056
"26 Pernambuco";6590451;6682077;6772395;6860843;6947006;7031080;7127855;7177026
"27 Alagoas";2223992;2273455;2322212;2369959;2416472;2461858;2514100;2535713
"28 Sergipe";1299881;1332616;1364883;1396483;1427265;1457302;1491876;1515856
"29 Bahia";10550577;10775194;10996603;11213428;11424650;11630752;11867991;11990115
"31 Minas Gerais";14452508;14672561;14889471;15101890;15308819;15510734;15743152;15911713
"32 Espírito Santo";2285529;2339251;2392206;2444064;2494583;2543877;2600618;2637248
"33 Rio de Janeiro";11980142;12121241;12260324;12396527;12529211;12658679;12807706;12916221
"35 São Paulo";28014784;28624170;29224852;29813099;30386139;30945297;31588925;32047865
"41 Paraná";8001512;8077759;8152917;8226519;8298219;8368181;8448713;8549328
"42 Santa Catarina";4043082;4128146;4211994;4294107;4374098;4452150;4541994;4602398
"43 Rio Grande do Sul";8393718;8520731;8645930;8768537;8887976;9004520;9138670;9229120
"50 Mato Grosso do Sul";1556147;1594377;1632061;1668965;1704916;1739995;1780373;1807102
"51 Mato Grosso";1542249;1624937;1706445;1786265;1864023;1939896;2027231;2065042
"52 Goiás";3528656;3612242;3694635;3775322;3853923;3930620;4018903;4108982
"53 Distrito Federal";1369580;1409053;1447962;1486065;1523184;1559403;1601094;1641125
"Total";131639272;134228492;136780739;139280140;141714953;144090756;146825475;148684120
 Fontes:
 
 1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
 1996: IBGE - Contagem Populacional
 1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
 2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 
 estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes da metodologia.
